stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
WILTSIS4,2075.0,Wilton Grove at Sise Rd WB - #2075,,42.927417,-81.201219,,,,,,0
WONDBEA1,2097.0,Wonderland at Beaverbrook NB - #2097,,42.99006,-81.295692,,,,,,0
WONDBEA2,2098.0,Wonderland at Beaverbrook Ave SB - #2098,,42.989438,-81.295648,,,,,,0
WONDCOM1,2100.0,Wonderland South of Commissioners NB - #2100,,42.95344,-81.290359,,,,,,0
WONDCOM2,2101.0,Wonderland at Commissioners SB - #2101,,42.953736,-81.290681,,,,,,0
WONDCOM3,2102.0,Wonderland North of Commissioners NB - #2102,,42.955837,-81.290977,,,,,,0
WONDFAR1,2103.0,Wonderland at Costco South Entrance NB - #2103,,42.986003,-81.293578,,,,,,0
WONDFAR2,2104.0,Wonderland North of Farrah SB - #2104,,42.985811,-81.293766,,,,,,0
WONDFAR3,2105.0,Wonderland North of Farrah NB - #2105,,42.987627,-81.294437,,,,,,0
WONDFAR4,2106.0,Wonderland North of Farrah Rd SB - #2106,,42.987043,-81.294428,,,,,,0
WONDKIW1,2108.0,Wonderland at Kingsway  NB - #2108,,42.97895,-81.29008,,,,,,0
WONDKIW2,2109.0,Wonderland at Kingsway Ave SB - #2109,,42.979114,-81.290392,,,,,,0
WONDMMA1,2111.0,Wonderland North of McMaster NB - #2111,,42.943955,-81.287721,,,,,,0
WONDMMA2,2112.0,Wonderland South of McMaster SB - #2112,,42.942987,-81.2865,,,,,,0
WONDMMA3,2113.0,Wonderland South of McMaster NB - #2113,,42.942913,-81.285326,,,,,,0
WONDMMA4,2114.0,Wonderland North of McMaster SB - #2114,,42.944487,-81.288397,,,,,,0
WONDOXF1,2115.0,Wonderland North of Oxford  NB - #2115,,42.98418,-81.292694,,,,,,0
WONDOXF2,2116.0,Wonderland North of Oxford SB - #2116,,42.984199,-81.292946,,,,,,0
WONDOXF3,2117.0,Wonderland at Oxford St NB - #2117,,42.982517,-81.29182,,,,,,0
WONDOXF4,2118.0,Wonderland South of Oxford SB - #2118,,42.981865,-81.29174,,,,,,0
WONDPVA1,2119.0,Wonderland at PineValley Gate NB - #2119,,42.942462,-81.283426,,,,,,0
WONDPVA2,2120.0,Wonderland at Pine Valley Blvd SB - #2120,,42.942327,-81.283654,,,,,,0
WONDPVA4,2121.0,Wonderland at  PineValley Lane SB - #2121,,42.941199,-81.28219,,,,,,0
WONDRIV1,2122.0,Wonderland at Riverside NB - #2122,,42.976791,-81.289775,,,,,,0
WONDRIV2,2123.0,Wonderland at Riverside Dr SB - #2123,,42.976033,-81.290474,,,,,,0
WONDROSE,2124.0,Wonderland at Rosecliffe Terr. SB - #2124,,42.959528,-81.293657,,,,,,0
WONDSAR1,2125.0,Sarnia at Wonderland WB - #2125,,42.995739,-81.29845,,,,,,0
WONDSDA1,2128.0,Wonderland at Southdale NB - #2128,,42.939594,-81.281397,,,,,,0
WONDSPR1,2132.0,Wonderland at Springbank NB - #2132,,42.964403,-81.293102,,,,,,0
WONDTEE1,2134.0,Wonderland at Teeple Terrance NB - #2134,,42.959046,-81.293315,,,,,,0
WONDVIL1,2135.0,Wonderland at Village Green NB - #2135,,42.95074,-81.289716,,,,,,0
WONDVIL2,2136.0,Wonderland at VillageGreen Ave SB - #2136,,42.951463,-81.290115,,,,,,0
WONDVIS2,2138.0,Wonderland at Viscount NS1 SB - #2138,,42.948855,-81.289568,,,,,,0
WONDVIS3,2139.0,780 Wonderland Rd NB - #2139,,42.948946,-81.289303,,,,,,0
WOODCAM1,2140.0,Woodward at Cambridge NB - #2140,,42.988255,-81.270527,,,,,,0
WOODCAM2,2141.0,Woodward at Cambridge SB - #2141,,42.988327,-81.270649,,,,,,0
WOODEDI1,2142.0,Woodward at Edinburgh  NB - #2142,,42.986836,-81.269791,,,,,,0
WOODEDI2,2143.0,Woodward at Edinburgh SB - #2143,,42.986627,-81.269737,,,,,,0
WOODRIVE,2144.0,Woodward at Riverside  NB - #2144,,42.983507,-81.269484,,,,,,0
WOODTOZ2,2146.0,Woodward at Tozer Ave SB - #2146,,42.984804,-81.269627,,,,,,0
YORKADE1,2154.0,York at Adelaide EB - #2154,,42.986345,-81.230015,,,,,,0
YORKADE2,2155.0,York at Adelaide WB - #2155,,42.986415,-81.230103,,,,,,0
YORKCOL1,2157.0,York at Colborne EB - #2157,,42.984043,-81.238324,,,,,,0
YORKCOL2,2158.0,York at Colborne WB - #2158,,42.98405,-81.23898,,,,,,0
YORKLYL1,2161.0,York at Lyle EB - #2161,,42.987086,-81.227262,,,,,,0
